Swiss Family Robinson (1940)
Miracle on 34th Street (1947)
Treasure Island (1950)
The Story of Robin Hood and His Merrie Men (1952)
20,000 Leagues Under the Sea (1954)
Davy Crockett, King of the Wild Frontier (1955)
Oklahoma! (1955)
Davy Crockett and the River Pirates (1956)
New Yeller (1957)
The Sign of Zorro (1958)
The Shaggy Dog (1959)
Darby O’Gill and the Little People (1959)
Journey to the Center of the Earth (1959)
Third Man on the Mountain (1959)
Pollyanna (1960)
Swiss Family Robinson (1960)
The Absent-Minded Professor (1961)
The Parent Trap (1961)
Greyfriars Bobby (1961)
Babes in Toyland (1961)
The Prince and the Pauper (1962)
Almost Angels (1962)
Sammy, the Way-Out Seal (1962)
The Incredible Journey (1963)
Mary Poppins (1964)
Emil and the Detectives (1964)
Those Calloways (1965)
The Sound of Music (1965)
That Darn Cat! (1965)
The Ugly Dachshund (1966)
The Adventures of Bullwhip Griffin (1967)
The Happiest Millionaire (1967)
Blackbeard’s Ghost (1968)
The Love Bug (1969)
My Dog, The Thief (1969)
Hello, Dolly (1969)
The Computer Wore Tennis Shoes (1969)
The Barefoot Executive (1971)
The Million Dollar Duck (1971)
Bedknobs and Broomsticks (1971)
Hacksaw (1971)
Justin Morgan Had a Horse (1972)
The Biscuit Eater (1972)
Snowball Express (1972)
Herbie Rides Again (1974)
The Island at the Top of the World (1974)
The Bears and I (1974)
The Castaway Cowboy (1974)
The Strongest Man in the World (1975)
Escape to Witch Mountain (1975)
The Apple Dumpling Gang (1975)
Gus (1976)
Treasure of Matecumbe (1976)
The Shaggy D.A. (1976)
Freaky Friday (1977)
A Tale of Two Critters (1977)
The Many Adventures of Winnie the Pooh (1977)
Herbie Goes to Monte Carlo (1977)
Pete’s Dragon (1977)
Candleshoe (1977)
Return From Witch Mountain (1978)
The Cat From Outer Space (1978)
The Muppet Movie (1979)
The Apple Dumpling Gang Rides Again (1979)
Unidentified Flying Oddball (1979)
The Black Hole (1979)
Sultan and the Rock Star (1980)
Herbie Goes Bananas (1980)
The Ghosts of Buxley Hall (1980)
Amy (1981)
The Great Muppet Caper (1981)
TRON (1982)
Splash (1984)
Return to Oz (1985)
The Journey of Natty Gann (1985)
One Magic Christmas (1985)
Mr. Boogedy (1986)
Fuzzbucket (1986)
Casebusters (1986)
Flight of the Navigator (1986)
The Christmas Star (1986)
Benji the Hunted (1987)
The Princess Bride (1087)
Three Men and a Baby (1987)
Willow (1988)
Who Framed Roger Rabbit (1988)
Honey, I Shrunk the Kids (1989)
Turner & Hooch (1989)
Cheetah (1989)
Three Men and a Little Lady (1990)
Home Alone (1990)
Edward Scissorhands (1990)
White Fang (1991)
Shipwrecked (1991)
Wild Hearts Can’t Be Broken (1991)
Mark Twain and Me (1991)
The Rocketeer (1991)
Newsies (1992)
Sister Act (1992)
Honey, I Blew Up the Kid (1992)
The Mighty Ducks (1992)
Home Alone 2: Lost in New York (1992)
The Muppet Christmas Carol (1992)
The Adventures of Huck Finn (1993)
Homeward Bound: The Incredible Journey (1993)
Cool Runnings (1993)
The Sandlot (1993)
Life With Mikey (1993)
Rookie of the Year (1993)
Hocus Pocus (1993)
The Three Musketeers (1993)
The Sandlot (1993)
Sister Act 2: Back in the Habit (1993)
Iron Will (1994)
Blank Check (1994)
Baby’s Day Out (1994)
Squanto: A Warrior’s Tale (1994)
Camp Nowhere (1994)
White Fang 2: Myth of the White Wolf (1994)
D2: The Mighty Ducks (1994)
The Santa Clause (1994)
Heavyweights (1995)
Tall Tale (1995)
While You Were Sleeping (1995)
Operation Dumbo Drop (1995)
A Kid in King Arthur’s Court (1995)
The Big Green (1995)
Tom and Huck (1995)
Far From Home: The Adventures of Yellow Dog (1995)
Muppet Treasure Island (1996)
Homeward Bound II: Lost in San Francisco (1996)
Kazaam (1996)
Jack (1996)
First Kid (1996)
101 Dalmatians (1996)
D3: The Mighty Ducks (1996)
Mr. Holland’s Opus (1996)
That Darn Cat (1997)
Home Alone 3 (1997)
George of the Jungle (1997)
Jungle 2 Jungle (1997)
Mr. Magoo (2007)
Honey, We Shrunk Ourselves (1997)
Flubber (1997)
Meet the Deedles (1998)
Mulan (1998)
The Parent Trap (1998)
Dr. Dolittle (1998)
Ever After: A Cinderella Story (1998)
I’ll Be Home for Christmas (1998)
Mighty Joe Young (1998)
My Favorite Martian (1999)
The Straight Story (1999)
10 Things I Hate About You (1999)
Inspector Gadget (1999)
Never Been Kissed (1999)
Annie (1999)
The Kid (2000)
Remember the Titans (2000)
102 Dalmatians (2000)
The Princess Diaries (2001)
Dr Doolittle 2 (2001)
Max Keeble’s Big Move (2001)
Snow Dogs (2002)
The Rookie (2002)
The Country Bears (2002)
Ice Age (2002)
Tuck Everlasting (2002)
The Santa Clause 2 (2002)
Inspector Gadget 2 (2003)
Holes (2003)
The Lizzie McGuire Movie (2003)
George of the Jungle 2 (2003)
Pirates of the Caribbean: The Curse of the Black Pearl (2003)
Bend It Like Beckham (2003)
Freaky Friday (2003)
The Haunted Mansion (2003)
Cheaper By The Dozen (2003)
Miracle (2004)
Around The World In 89 Days (2004)
Garfield: The Movie (2004)
Confessions of a Teenage Drama Queen (2004)
The Princess Diaries 2: Royal Engagement (2004)
National Treasure (2004)
The Pacifier (2005)
Millions (2005)
The Sandlot 2 (2005)
Ice Princess (2005)
Herbie: Fully Loaded (2005)
The Greatest Game Ever Played (2005)
Twitches (2005)
Because of Winn-Dixie (2005)
Man of the House (2005)
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)
Cheaper by the Dozen 2 (2005)
Glory Road (2006)
Eight Below (2006)
Night at the Museum (2006)
The Shaggy Dog (2006)
Garfield: A Tail of Two Kitties (2006)
Dr. Dolittle 3 (2006)
Flicka (2006)
Pirates of the Caribbean: Dead Man’s Chest (2006)
Invincible (2006)
The Santa Clause 3: The Escape Clause (2006)
Pirates of the Caribbean: At World’s End (2007)
The Sandlot: Heading Home (2007)
The Game Plan (2007)
Dan in Real Life (2007)
Enchanted (2007)
National Treasure: Book of Secrets (2007)
Alvin And the Chipmunks (2007)
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert (2008)
College Road Trip (2008)
Bedtime Stories (2008)
The Chronicles of Narnia: Prince Caspian (2008)
High School Musical 3: Senior Year (2008)
Beverly Hills Chihuahua (2008)
Avatar (2009)
New Dogs (2009)
Confessions of a Shopaholic (2009)
Jonas Brothers: The 3D Concert Experience (2009)
Race to Witch Mountain (2009)
Hannah Montana: The Movie (2009)
Disney’s A Christmas Carol (2009)
Night at the Museum: Battle for the Smithsonian (2009)
Alice in Wonderland (2010)
Flicka 2 (2010)
Diary of a Wimpy Kid (2010)
The Sorcerer’s Apprentice (2010)
Prince of Persia: The Sands of Time (2010)
The Chronicles of Narnia: The Voyage of the Dawn Treader (2010)
Secretariat (2010)
Gulliver’s Travels (2010)
Ramona and Beezus (2010)
TRON: Legacy (2010)
The Last Song (2010)
Diary of a Wimpy Kid: Rodrick Rules (2011)
Prom (2011)
Mr. Popper’s Penguins (2011)
The Big Year (2011)
We Bought A Zoo (2011)
The Muppets (2011)
