In Beaver Valley (1950)
Nature’s Half Acre (1951)
The Olympic Elk (1952)
Water Birds (1952)
The Living Desert (1953)
Prowlers of the Everglades (1953)
The Vanishing Prairie (1954)
Man in Space (1955)
The Story of the Animated Drawing (1955)
The Pre-Opening Report from Disneyland (1955)
The African Lion (1955)
Secrets of Life (1956)
Perri (1957)
Mars and Beyond (1957)
White Wilderness (1958)
Jungle Cat (1959)
Frank and Ollie (1995)
Whispers: An Elephant’s Tale (2000)
Deep Blue (2003)
Sacred Planet (2004)
America’s Heart and Soul (2004)
Aliens of the Deep (2005)
How Dogs Got Their Shapes (2005)
Roving Mars (2006)
Dog Whisperer With Cesar Millan (2007)
Stonehenge Decoded: Secrets Revealed (2008)
Wild Russia (2008)
The Crimson Wing: Mystery of the Flamingos (2008)
Morning Light (2008)
Kingdom of the Blue Whale (2009)
Trail of the Panda (2009)
Easter Island Unsolved (2009)
The Boys: The Sherman Brothers Story (2009)
Walt and El Grupo (2009)
Bizarre Dinosaurs (2009)
Waking Sleeping Beauty (2010)
Oceans (2010)
Journey to Shark Eden (2010)
Big Sur: Wild California (2010)
Great Migrations (2010)
Wings of Life (2011)
Hunt for the Abominable Snowman (2011)
African Cats (2011)
Brain Games (2011)
Wicked Tuna (2011)
The Incredible Dr. Pol (2011)
Drain The Great Lakes (2011)
Cesar Millan: The Real Story (2012)
Chimpanzee (2012)
UFO Europe: The Untold Stories (2012)
Birth of Europe  (2012)
Unlikely Animal Friends (2012)
Cradle of the Gods (2012)
Secrets of the King Cobra (2012)
Secrets of Wild India (2012)
America’s Greatest Animals (2012)
Winged Seduction: Birds of Paradise (2012)
Life Below Zero (2013)
Walking With Dinosaurs (2013)
Cosmos: A Spacetime Odyssey (2013)
Sharks of Lost Island (2013)
When Sharks Attack (2013)
King Fishers (2013)
CAR SOS (2013)
Miracle Landing on the Hudson (2014)
Primal SurVivor (2014)
Drain The Bermuda Triangle (2014)
Dr. Oakley, Yukon Vet (2014)
Bears (2014)
Wicked Tuna: Outer Banks (2014)
Wild Hawaii (2014)
Wild Congo (2014)
Dr. K’s Exotic Animal ER (2014)
Survive the Tribe (2014)
Monkey Kingdom (2015)
Big Cat Games (2015)
Drain The Titanic (2015)
America’s National Parks (2015)
Ice Road Rescue (2015)
Wild Yellowstone (2015)
World’s Greatest Dogs (2016)
First Class Chefs: Family Style (2016)
The Greeks (2016)
Animal ER (2016)
Egypt’s Treasure Guardians (2016)
Wild Sri Lanka (2016)
Expedition Mars: Spirit & OPPOrtunity (2016)
Before the Flood (2016)
Party Animals (2016)
Drain The Ocean: WWII (2016)
United States of Animals (2016)
Continent 7: Antarctica (2016)
Primal SurVivor (2016)
Nature Boom Time (2016)
Mega Hammerhead (2016)
Sea of Hope: America’s Underwater Treasures (2017)
Atlantis Rising (2017)
Origins: The Journey of Humankind (2017)
Born in China (2017)
Paradise Islands (2017)
Disney’s Fairy Tale Weddings (2017)
Earth Live (2017)
Gender Revolution: A Journey with Katie Couric (2017)
Kingdom of the Apes: Battle Lines (2017)
Diana: In Her Own Words (2017)
Breaking2 (2017)
Love & Vets (2017)
