Toy Story (1995)
A Bug’s Life (1998)
Toy Story 2 (1999)
Monsters, Inc. (2001)
Finding Nemo (2003)
The Incredibles (2004)
Cars (2006)
Ratatouille (2007)
WALL•E (2008)
Toy Story 3 (2010)
Cars 2 (2011)
Brave (2012)
Monsters University (2013)
Toy Story of Terror (2013 – short subject)
Toy Story That Time Forgot (2014 – short subject)
Inside Out (2015)
The Good Dinosaur (2015)
Finding Dory (2016)
Cars 3 (2017)
Incredibles 2 (2018)
Coco (2018)
Toy Story 4 (2019)
Lamp Life (2020)
Onward (2020)
Soul (2020)
Luca (2021)
Turning Red (2022)
Lightyear (2022)
