The Muppet Show (1977)
Adventures in Wonderland (1992)
Boy Meets World (1993)
Smart Guy (1997)
Out of the Box (1998)
So Weird (1999)
Even Stevens (2000)
Lizzie McGuire (2001)
America’s Funniest Home Videos (2002)
That’s So Raven (2003)
The Suite Life of Zack & Cody (2005)
Hannah Montana (2006)
Wizards Of Waverly Place (2007)
Disney Channel Games (2008)
The Suite Life on Deck (2008)
JONAS (2009)
Sonny with a Chance (2009)
Pair of Kings (2010)
Good Luck Charlie (2010)
Shake It Up (2010)
Kickin’ It (2011)
Once Upon A Time (2011)
A.N.T. Farm (2011)
Jessie (2011)
Austin and Ally (2011)
Violetta (2012)
Lab Rats (2012)
Crash & Bernstein (2012)
Kirby Bucket (2013)
Once Upon A Time In Wonderland (2013)
Mighty Med (2013)
Liv and Maddie (2013)
Girl Meets World (2014)
I Didn’t Do It (2014)
The Evermoor Chronicles (2014)
Best Friends Whenever (2015)
The Muppets – Series (2015)
Just Like Me (2016)
Stuck in the Middle (2016)
Lab Rats: Elite Force (2016)
Bizaardvark (2016)
Soy Luna (2016)
Mech X4 (2016)
Walk The Prank (2016)
The Lodge (2016)
Andi Mack (2017)
Raven’s Home (2017)
Coop & Cami Ask the World (2018)
Muppet Babies: Play Date (2018)
Sydney to the Max (2019)
Fast Layne (2019)
Just Roll with It (2019)
Bia (2019)
Roll It Back (2020)
Disney Channel Summer Singalong (2020)
Disney Channel Epic Holiday Showdown (2020)
Disney Holiday Magic Quest (2020)
Disney Holiday Singalong (2020)
Disney Channel Holiday House Party (2020)
Fam Jam (2020)
Secrets of Sulphur Springs (2021)
The Wonder Years (2021)
Black-ish (2021)
Grown-ish (2021)
The Orville (2022)
