Schoolhouse Rock (1973)
Adventures of the Gummi Bears (1985)
DuckTales (1987)
The New Adventures of Winnie the Pooh (1988)
Chip ‘n’ Dale: Rescue Rangers (1989)
The Simpsons (1989)
TaleSpin (1990)
Darkwing Duck (1991)
Dinosaurs (1991)
Goof Troop (1992)
The Little Mermaid – Series (1992)
Bonkers (1993)
Gargoyles (1994)
Timon & Pumbaa (1995)
Quack Pack (1996)
Mighty Ducks – Series (1996)
Recess (1997)
101 Dalmations – The Series (1997)
Disney’s Pepper Ann (1997)
Hercules – Series (1998)
Rolie Polie Olie (1998)
The Book of Pooh (2001)
The Proud Family (2001)
Kim Possible (2002)
Lilo & Stitch: The Series (2003)
Super Robot Monkey Team Hyperforce Go! (2004)
Higglytown Heroes (2004)
Little Einsteins (2005)
Mickey Mouse Clubhouse (2006)
The Replacements (2006)
Handy Manny (2006)
My Friends Tigger & Pooh (2007)
Phineas and Ferb (2007)
Disney Special Agent Oso (2009)
Prep and Landing (2009)
Fish Hooks (2010)
Kick Buttowki: Suburban Daredevil  (2010)
Prep and Landing: Naughty vs Nice (2011)
Jake and the Never Land Pirates (2011)
TRON: Uprising (2012)
Gravity Falls (2012)
Fury Files (2012)
Henry Hugglemonster (2013)
Wander over Yonder (2013)
Sheriff Callie’s Wild West (2014)
Miles from Tomorrowland (2015)
Goldie and Bear (2015)
Star Vs The Forces of Evil (2015)
PJ Masks (2015)
The Lion Guard (2015)
Pickle and Peanut (2015)
Elena of Avalor (2016)
Milo Murphy’s Law (2016)
Future-Worm! (2016)
Mickey and the Roadster Racers (2017)
Mixed-Up Adventures (2017)
Tangled: The Series (2017)
Puppy Dog Pals (2017)
Vampirina (2017)
Big Hero 6: The Series (2017)
Goldie and Bear (2017)
Muppet Babies (2018)
Legend of the Three Caballeros (2018)
Big City Greens (2018)
Marvel Rising (2018)
Amphibia (2019)
Disney Junior Presents Lullabies (2019)
Disney Junior Mickey Mouse Mixed-Up Adventures (2019)
Bluey (2019)
Big City Greens (2019)
Disney Junior Ready For Preschool (2019)
Mickey Go Local (2019)
Fancy Nancy (2019)
T.O.T.S. (2019)
Gigantosaurus (2019)
Calling All T.O.T.S. (2020)
The Rocketeer (2020)
The Owl House (2020)
Mira: Royal Detective  (2020)
Dino Ranch (2021)
Disney Junior Mickey Mouse Funhouse (2021)
Disney Junior Minnie’s Bow-Toons: Party Palace Pals (2021)
Disney Junior The Chicken Squad (2021)
The Ghost and Molly McGee (2021)
