Star Wars: A New Hope (1977)
The Story of the Faithful Wookie (Short Subject – 1978)
Star Wars: The Empire Strikes Back (1980)
Star Wars: Return of the Jedi (1983)
Caravan of Courage (1984)
Star Wars: Ewoks (1985)
Ewoks: The Battle for Endor (1985)
Star Wars: The Phantom Menace (1999)
Star Wars: Attack of the Clones (2002)
Star Wars: Clone Wars (Micro-series: 2003)
Empire of Dreams: The Story of the Star Wars Trilogy (2004)
Star Wars: Revenge of the Sith (2005)
Star Wars: The Clone Wars (2008)
Star Wars: The Clone Wars – Series (2008)
Star Wars Rebels (2014)
LEGO Star Wars: The New Yoda Chronicles (2014)
Lego Star Wars: Droid Tales (2015)
Star Wars: The Force Awakens (2015)
LEGO Star Wars: The Freemaker Adventures (2016)
Rogue One: A Star Wars Story (2016)
Star Wars: Forces of Destiny (2017)
Star Wars: The Last Jedi (2017)
Star Wars Resistance (2018)
LEGO Star Wars: All-Stars (2018)
Solo: A Star Wars Story (2019)
The Mandalorian (2019)
Star Wars Galaxy’s Edge: Adventure Awaits (2019)
Star Wars Episode IX: The Rise of Skywalker (2019)
Lego Star Wars Holiday Special (2020)
Star Wars: The Bad Batch (2021)
Star Wars: Obi-Wan Kenobi (2022)
Star Wars: Andor (2022)
